文件名,diff均值,fp均值,rx均值
nlos1-3.8m.csv,0.2382,-86.1033,-79.8667
nlos1-4.0m.csv,0.5028,-90.1183,-80.0733
nlos1-4.2m.csv,0.2429,-87.7033,-80.0500
nlos1-4.4m.csv,1.6014,-93.4417,-80.0183
nlos1-4.6m.csv,0.2328,-84.6433,-79.6800
nlos1-4.8m.csv,0.3743,-88.1200,-79.8367
nlos1-5.0m.csv,0.2800,-84.9450,-79.7933
nlos1-5.2m.csv,0.1565,-85.6183,-79.8283
nlos1-5.4m.csv,0.2277,-84.9267,-79.7700
nlos1-5.6m.csv,0.1977,-86.8633,-79.8583
nlos1-5.8m.csv,0.2112,-85.1533,-79.8333
nlos1-6.0m.csv,0.2323,-84.0000,-79.6917
nlos1-6.2m.csv,0.2036,-84.9283,-79.6883
nlos1-6.4m.csv,0.2328,-85.2417,-79.8250
nlos1-6.6m.csv,0.1731,-87.4567,-80.0400
nlos1-6.8m.csv,0.1207,-91.0167,-80.0467
nlos1-7.0m.csv,0.1866,-87.5067,-79.9083
nlos1-7.2m.csv,0.1521,-87.1483,-79.9833
nlos1-7.4m.csv,0.1144,-89.3567,-80.0083
nlos1-7.6m.csv,0.1388,-88.4967,-80.0500
nlos1-7.8m.csv,0.1706,-85.3217,-79.9883
nlos2-0.8m.csv,0.0443,-80.8250,-78.1050
nlos2-1.0m.csv,0.0596,-80.8350,-78.2550
nlos2-1.2m.csv,0.0302,-81.0750,-78.5400
nlos2-1.4m.csv,0.0322,-80.8800,-78.5400
nlos2-1.6m.csv,0.0746,-81.0150,-78.5050
nlos2-1.8m.csv,0.1277,-81.1350,-78.1250
nlos2-2.0m.csv,0.1206,-81.1500,-78.2850
nlos2-2.2m.csv,0.0612,-81.1100,-79.0900
nlos2-2.4m.csv,0.1667,-81.1500,-78.0400
nlos2-2.6m.csv,0.0735,-80.9050,-78.8750
nlos2-2.8m.csv,0.0358,-81.0050,-79.0300
nlos2-3.0m.csv,0.0619,-80.9900,-78.8300
nlos2-3.2m.csv,0.0840,-81.0100,-78.8650
nlos2-3.4m.csv,0.0795,-81.0350,-78.8700
nlos2-3.6m.csv,0.0450,-81.0150,-79.1500
nlos2-3.8m.csv,0.0934,-81.2400,-79.0300
nlos2-4.0m.csv,0.0998,-80.9800,-78.7900
nlos2-4.2m.csv,0.0462,-81.1000,-79.1650
nlos2-4.4m.csv,0.0544,-81.1650,-79.1400
nlos2-4.6m.csv,0.0706,-81.0550,-78.9700
nlos2-4.8m.csv,0.0658,-81.0450,-79.0650
nlos2-5.0m.csv,0.0683,-81.0800,-79.0500
nlos2-5.2m.csv,0.0608,-81.0300,-79.3050
nlos2-5.4m.csv,0.0587,-81.1000,-79.0050
