文件名,离群值序号,diff,fp,rx
nlos1-5.6m.csv,0,0.09799995422363317,-91.0,-80.0
nlos1-5.6m.csv,244,0.20800008773803746,-88.5,-85.0
nlos1-5.8m.csv,117,0.17700023651123065,-83.5,-85.5
nlos1-6.0m.csv,120,0.17600011825561523,-81.5,-78.5
nlos1-6.0m.csv,138,0.20800018310546875,-82.0,-78.5
nlos1-6.0m.csv,154,0.18900012969970703,-81.5,-78.5
nlos1-6.0m.csv,155,0.21700000762939453,-81.0,-78.5
nlos1-6.0m.csv,188,0.16699981689453125,-82.0,-78.5
nlos1-6.0m.csv,191,0.17100000381469727,-82.0,-81.0
nlos1-6.2m.csv,11,0.16800003051757795,-90.0,-80.0
nlos1-6.2m.csv,18,0.3279998779296873,-87.0,-80.0
nlos1-6.2m.csv,49,0.32099990844726545,-86.0,-80.0
nlos1-6.2m.csv,56,0.19200019836425763,-87.0,-84.0
nlos1-6.2m.csv,74,0.33000020980834943,-87.5,-80.0
nlos1-6.2m.csv,75,0.3139999389648436,-87.5,-80.0
nlos1-6.2m.csv,76,0.32500009536743146,-87.5,-80.0
nlos1-6.2m.csv,81,0.31900005340576154,-87.5,-80.0
nlos1-6.2m.csv,90,0.3370001792907713,-87.0,-79.5
nlos1-6.2m.csv,98,0.32099990844726545,-86.5,-79.5
nlos1-6.2m.csv,147,0.14999990463256818,-83.0,-86.0
nlos1-6.4m.csv,206,0.18900022506713832,-86.5,-81.0
nlos1-6.6m.csv,86,0.2029999732971195,-90.0,-79.5
nlos1-6.6m.csv,95,0.1600002288818363,-90.5,-79.5
nlos1-6.6m.csv,98,0.16499986648559606,-90.5,-79.5
nlos1-6.6m.csv,103,0.2049998283386234,-84.5,-79.5
nlos1-6.6m.csv,113,0.18700017929077184,-84.5,-79.5
nlos1-6.6m.csv,115,0.19600000381469762,-84.5,-79.5
nlos1-6.8m.csv,1,0.467000198364258,-94.5,-80.0
nlos1-6.8m.csv,4,0.4360000610351564,-96.0,-80.0
nlos1-6.8m.csv,5,0.43099994659423846,-96.5,-80.0
nlos1-6.8m.csv,6,0.42900009155273455,-93.0,-80.0
nlos1-6.8m.csv,18,0.40499992370605487,-95.5,-80.0
nlos1-6.8m.csv,28,0.39700002670288104,-95.0,-80.0
nlos1-6.8m.csv,114,0.13599987030029315,-88.5,-79.5
nlos1-6.8m.csv,147,0.12899990081787127,-88.0,-79.5
nlos1-6.8m.csv,150,0.10399980545043963,-88.5,-79.5
nlos1-6.8m.csv,220,0.2300002098083498,-89.5,-79.5
nlos1-6.8m.csv,229,0.18600006103515643,-89.0,-79.5
nlos1-6.8m.csv,232,0.18099994659423846,-88.5,-79.5
nlos1-6.8m.csv,239,0.16999979019165057,-89.0,-79.5
nlos1-7.0m.csv,63,0.19500017166137695,-89.5,-81.0
nlos1-7.0m.csv,74,0.16300010681152344,-91.0,-81.0
nlos1-7.0m.csv,80,0.1919999122619629,-89.5,-81.0
nlos1-7.2m.csv,6,0.18299989700317365,-89.5,-80.5
nlos1-7.2m.csv,92,0.15900020599365217,-89.5,-79.5
nlos1-7.2m.csv,155,0.1520002365112303,-83.5,-79.5
nlos1-7.2m.csv,163,0.14700012207031232,-84.5,-79.5
nlos1-7.2m.csv,164,0.14000015258789045,-84.0,-79.5
nlos1-7.2m.csv,167,0.14999990463256818,-84.0,-79.5
nlos1-7.2m.csv,170,0.17900018692016584,-83.5,-79.5
nlos1-7.2m.csv,174,0.15699987411499006,-84.0,-79.5
