文件名,协方差矩阵
nlos2-2.6m.csv,"[[0.0005660704471558812, 0.002381318157369439, 0.0013560601557144026], [0.002381318157369439, 0.3368434343434351, 0.03345959595959596], [0.0013560601557144026, 0.03345959595959596, 0.07260101010101011]]"
nlos2-2.8m.csv,"[[0.0009502896031235734, 0.003998942339059081, -0.0005467654960324069], [0.003998942339059081, 0.3004797979797986, 0.007424242424242428], [-0.0005467654960324069, 0.007424242424242428, 0.05464646464646455]]"
nlos2-3.0m.csv,"[[0.0018074952053823304, 0.014132726866789536, 0.001579594395377419], [0.014132726866789536, 0.29282828282828255, 0.05383838383838381], [0.001579594395377419, 0.05383838383838381, 0.07686868686868667]]"
nlos2-3.2m.csv,"[[0.0008503923391412738, -0.0002780888056515672, 0.00028691842098430443], [-0.0002780888056515672, 0.2978787878787877, 0.0013636363636363594], [0.00028691842098430443, 0.0013636363636363594, 0.06997474747474741]]"
nlos2-3.4m.csv,"[[0.0011548578708106725, 0.007037165465981067, -0.0013509075328557178], [0.007037165465981067, 0.28916666666666596, 0.019747474747474753], [-0.0013509075328557178, 0.019747474747474753, 0.07383838383838384]]"
nlos2-3.6m.csv,"[[0.0015454236493374915, 0.012883991978385238, 0.00017828242947356843], [0.012883991978385238, 0.4164393939393943, 0.015404040404040364], [0.00017828242947356843, 0.015404040404040364, 0.05303030303030306]]"
nlos2-3.8m.csv,"[[0.0006036590353081028, 0.0014731332509204595, 0.00047202170497239246], [0.0014731332509204595, 0.19434343434343412, 0.030606060606060588], [0.00047202170497239246, 0.030606060606060588, 0.03949494949494955]]"
nlos2-4.0m.csv,"[[0.0020415432807932305, 0.014038378542119805, 0.00013282744571416032], [0.014038378542119805, 0.2773737373737369, 0.051313131313131366], [0.00013282744571416032, 0.051313131313131366, 0.06656565656565673]]"
nlos2-4.2m.csv,"[[0.0009888328864395132, 0.010169681876596778, 0.0017673681480715965], [0.010169681876596778, 0.3939393939393933, 0.07676767676767682], [0.0017673681480715965, 0.07676767676767682, 0.08108585858585875]]"
nlos2-4.4m.csv,"[[0.00043590562479526267, 0.0023714564544986003, -0.0007535300591979365], [0.0023714564544986003, 0.3740151515151511, -0.003131313131313126], [-0.0007535300591979365, -0.003131313131313126, 0.08626262626262646]]"
nlos2-4.6m.csv,"[[0.00174715074591457, 0.009871155830344772, -0.0015077751333063298], [0.009871155830344772, 0.2923989898989901, 0.0016666666666666705], [-0.0015077751333063298, 0.0016666666666666705, 0.05969696969696965]]"
nlos2-4.8m.csv,"[[0.0007271111203633361, 0.010062961843278671, 0.00027166576096505815], [0.010062961843278671, 0.3641161616161616, 0.034924242424242344], [0.00027166576096505815, 0.034924242424242344, 0.058863636363636535]]"
nlos2-5.0m.csv,"[[0.0008343251979866209, 0.002669093970096473, 0.002438384113889753], [0.002669093970096473, 0.34707070707070675, 0.0515151515151515], [0.002438384113889753, 0.0515151515151515, 0.07828282828282813]]"
nlos2-5.2m.csv,"[[0.000998614328633482, 0.006366160373495081, 0.0017765103686939593], [0.006366160373495081, 0.23646464646464685, 0.01601010101010105], [0.0017765103686939593, 0.01601010101010105, 0.06007575757575769]]"
nlos2-5.4m.csv,"[[0.000498010907739893, 0.0007373713483714106, 0.0043772824123652285], [0.0007373713483714106, 0.24747474747474688, 0.007070707070707167], [0.0043772824123652285, 0.007070707070707167, 0.34593434343434415]]"
nlos2-5.6m.csv,"[[0.0007043393180693521, 0.0007841944935345894, 0.00021863518339214913], [0.0007841944935345894, 0.3033080808080804, 0.012550505050505112], [0.00021863518339214913, 0.012550505050505112, 0.06108585858585846]]"
nlos2-5.8m.csv,"[[0.0019251782719913871, 0.00392383772917468, 0.006334347797162606], [0.00392383772917468, 0.22919191919191834, 0.022979797979797937], [0.006334347797162606, 0.022979797979797937, 0.07765151515151518]]"
