文件名,协方差矩阵
nlos3-4.4m.csv,"[[0.0005415669262444883, 0.0038165482126101082, -0.001033737394544813], [0.0038165482126101082, 0.31505050505050425, -0.004444444444444446], [-0.001033737394544813, -0.004444444444444446, 0.07010101010101015]]"
nlos3-4.6m.csv,"[[0.0011966510623532987, 0.0076616046404597744, -0.0011489870572330978], [0.0076616046404597744, 0.25757575757575707, 0.02272727272727272], [-0.0011489870572330978, 0.02272727272727272, 0.05303030303030288]]"
nlos3-4.8m.csv,"[[0.0005139843805386131, 0.005771915527305219, 0.0007274795541859639], [0.005771915527305219, 0.37502525252525165, 0.04244949494949486], [0.0007274795541859639, 0.04244949494949486, 0.04573232323232334]]"
nlos3-5.0m.csv,"[[0.000588396999870439, 0.0012492483312433417, 0.00022495106013134276], [0.0012492483312433417, 0.3251262626262632, 0.0179292929292929], [0.00022495106013134276, 0.0179292929292929, 0.061717171717171566]]"
nlos3-5.2m.csv,"[[0.0016419754351955826, 0.012608789819659613, 0.00022555635433004352], [0.012608789819659613, 0.23765151515151484, 0.0067929292929292855], [0.00022555635433004352, 0.0067929292929292855, 0.041691919191919224]]"
nlos3-5.4m.csv,"[[0.0005075049721496975, 0.003934836435799649, 0.002072226302792328], [0.003934836435799649, 0.2762373737373743, 0.01583333333333335], [0.002072226302792328, 0.01583333333333335, 0.05583333333333347]]"
nlos3-5.6m.csv,"[[0.0008333358717299918, 0.004638630332368793, 0.00136843654844496], [0.004638630332368793, 0.2695707070707078, 0.008207070707070692], [0.00136843654844496, 0.008207070707070692, 0.05744949494949482]]"
nlos3-5.8m.csv,"[[0.0018862717050316608, 0.014795608279680959, 0.00532404254181217], [0.014795608279680959, 0.3206818181818188, 0.020909090909090957], [0.00532404254181217, 0.020909090909090957, 0.06101010101010114]]"
nlos3-6.0m.csv,"[[0.0007615826031070865, 0.01089620626333988, 0.0028674247288944755], [0.01089620626333988, 0.36411616161616156, 0.04962121212121204], [0.0028674247288944755, 0.04962121212121204, 0.0877525252525251]]"
nlos3-6.2m.csv,"[[0.0005707200989324675, -0.0002935458674575344, -7.242477301395308e-05], [-0.0002935458674575344, 0.2690909090909086, 0.004848484848484852], [-7.242477301395308e-05, 0.004848484848484852, 0.06613636363636347]]"
nlos3-6.4m.csv,"[[0.0014512314780048506, 0.008098987232555043, 0.003045456698446562], [0.008098987232555043, 0.3266666666666662, -0.012121212121212109], [0.003045456698446562, -0.012121212121212109, 0.05744949494949481]]"
nlos3-6.6m.csv,"[[0.0008515744592960168, 0.0037588938799771408, -9.79847378200955e-05], [0.0037588938799771408, 0.3489646464646462, -0.014141414141414111], [-9.79847378200955e-05, -0.014141414141414111, 0.06565656565656552]]"
nlos3-6.8m.csv,"[[0.0005577438511124332, 0.00032317975554803434, 0.0013609067358151831], [0.00032317975554803434, 0.3014898989898995, 0.022878787878787894], [0.0013609067358151831, 0.022878787878787894, 0.08393939393939397]]"
nlos3-7.0m.csv,"[[0.0012119925245162744, 0.006552222088129834, 0.006027173128995025], [0.006552222088129834, 0.23242424242424262, -0.09272727272727267], [0.006027173128995025, -0.09272727272727267, 1.3231313131313147]]"
nlos3-7.2m.csv,"[[0.0006756752556610983, 0.0032428655239066704, 0.003295099229523631], [0.0032428655239066704, 0.34694444444444517, -0.04159090909090902], [0.003295099229523631, -0.04159090909090902, 0.09421717171717191]]"
nlos3-7.4m.csv,"[[0.000454180528949376, -0.0008133361315486408, 0.004433549823183002], [-0.0008133361315486408, 0.39138888888888956, 0.030833333333333247], [0.004433549823183002, 0.030833333333333247, 0.6580555555555554]]"
nlos3-7.6m.csv,"[[0.0006858389975242987, 0.003331314241043249, 0.0022646453163840557], [0.003331314241043249, 0.27199494949494923, 0.03406565656565652], [0.0022646453163840557, 0.03406565656565652, 0.06896464646464662]]"
nlos3-7.8m.csv,"[[0.0010449188214267293, 0.003946568797333072, 0.0030141401772547246], [0.003946568797333072, 0.32838383838383856, 0.03434343434343433], [0.0030141401772547246, 0.03434343434343433, 0.10606060606060591]]"
